key,en,nl
"Middle Name","Middle Name","Voorvoegsel"
"Mobile No.","Mobile No.","Mobile No."
"My Booking","My Booking","My Booking"
"Name","Name","Name"
"New Note","New Note","New Note"
"New Note Add","New Note Add","New Note Add"
"No Comments Yet","No Comments Yet","No Comments Yet"
"No Connections Found.","No Connections Found.","No Connections Found."
"No Contracts Found.","No Contracts Found.","No Contracts Found."
"No Events Found","No Events Found","No Events Found"
"No Request Found.","No Request Found.","No Request Found."
"No Tickets Found","No Tickets Found","No Tickets Found"
"No Work Orders Found.","No Work Orders Found.","No Work Orders Found."
"No countries found","No countries found","Geen landen gevonden"
"No data found","No data found","Geen gegevens gevonden"
"No file chosen","No file chosen","No file chosen"
"No internet connection","No internet connection","Geen internetverbinding"
"None","None","Geen"
"OTP resent successfully","OTP resent successfully","OTP opnieuw verzonden"
"Opmerking","Opmerking","Opmerking"
"Opnieuw","Reset","Opnieuw"
"Optional","Optional","Optioneel"
"Order Created By","Order Created By","Order Created By"
"Outstading","Outstading","Outstading"
"Parent 1","Parent 1","Parent 1"
"Parent 2","Parent 2","Parent 2"
"Past Events","Past Events","Past Events"
"Pay Job","Pay Job","Pay Job"
"Pay Now","Pay Now","Pay Now"
"Pay order","Pay order","Pay order"
"Payment saved","Payment saved","Payment saved"
"Permission required to access photos","Permission required to access photos","Toestemming vereist voor foto's"
"Personal Details","Personal Details","Persoonlijke gegevens"
"Personalia","Personalia","Personalia"
"Phone country code","Phone country code","Phone country code"
"Pickup Address","Pickup Address","Pickup Address"
"Please Enter Ammount!","Please Enter Ammount!","Please Enter Ammount!"
"Please Enter Comments!","Please Enter Comments!","Please Enter Comments!"
"Please Enter Note","Please Enter Note","Please Enter Note"
"Please check your internet and try again.","Please check your internet and try again.","Controleer je internetverbinding en probeer opnieuw."
"Please complete your profile to continue","Please complete your profile to continue","Voltooi je profiel om door te gaan"
"Please enter address","Please enter address","Please enter address"
"Please enter comment","Please enter comment","Please enter comment"
"Please enter company name","Please enter company name","Please enter company name"
"Please enter signature","Please enter signature","Please enter signature"
"Please enter task name","Please enter task name","Please enter task name"
"Please fill all required fields","Please fill all required fields","Please fill all required fields"
"Please fill required fields","Please fill required fields","Please fill required fields"
"Please select contract and schedule","Please select contract and schedule","Please select contract and schedule"
"Please select country code","Please select country code","Selecteer een landcode"
"Please select customer","Please select customer","Please select customer"
"Please select language","Please select language","Selecteer een taal"
"Please select priority","Please select priority","Please select priority"
"Please select salutation","Please select salutation","Selecteer alstublieft aanhef"
"Please select start and destination","Please select start and destination","Selecteer start en bestemming"
"Please select subcategory","Please select subcategory","Selecteer subcategorie"
"Pricing","Pricing","Pricing"
"Private Comment","Private Comment","Private Comment"
"Product created successfully","Product created successfully","Product created successfully"
"Product list server error","Product list failed on the server (invalid product price data). Please ask your administrator to fix the backend.","Productlijst mislukt op de server (ongeldige productprijsgegevens). Vraag uw beheerder om de backend te repareren."
"Profile updated successfully","Profile updated successfully","Profiel succesvol bijgewerkt"
"Project Check In","Project Check In","Project inchecken"
"Project Check Out","Project Check Out","Project uitchecken"
"Project Name is required","Project Name is required","Project Name is required"
"Project Type","Project Type","Project Type"
"Project Type is required","Project Type is required","Project Type is required"
"Projects","Projects","Projects"
"Rebuild the app after installing image picker. Run: npx expo run:android","Please rebuild the app: npx expo run:android","Please rebuild the app: npx expo run:android"
"Register with your WhatsApp number","Register with your WhatsApp number","Registreer met je WhatsApp-nummer"
"Relaties","Relaties","Relaties"
"Save Note","Save Note","Save Note"
"Scan event QR code","Scan event QR code","Scan event QR code"
"Scanner","Scanner","Scanner"
"Schedule","Schedule","Planning"
"Schedule found","Schedule found","Schedule found"
"School","School","School"
"Search connection","Search connection","Search connection"
"Search country","Search country","Zoek land"
"Search customer","Search customer","Search customer"
"Search priority","Search priority","Search priority"
"Search project","Search project","Search project"
"Search tasks, complaints","Search tasks, complaints","Search tasks, complaints"
"Search tenant contracts","Search tenant contracts","Search tenant contracts"
"Search ticket, name, id","Search ticket, name, id","Search ticket, name, id"
"Search works orders","Search works orders","Search works orders"
"Search.......","Search.......","Search......."
"Select Priority","Select Priority","Select Priority"
"Select Relatie...","Select Relatie...","Select Relatie..."
"Select Tax","Select Tax","Select Tax"
"Select Template","Select Template","Select Template"
"Select action","Select action","Select action"
"Select birth date","Select birth date","Selecteer geboortedatum"
"Select category","Select category","Select category"
"Select contract","Select contract","Select contract"
"Select country code","Select country code","Selecteer landcode"
"Select customer","Select customer","Select customer"
"Select date","Select date","Selecteer datum"
"Select priority","Select priority","Select priority"
"Select profile photo","Select profile photo","Selecteer profielfoto"
"Select project","Select project","Select project"
"Select project name","Select project name","Select project name"
"Select project type","Select project type","Select project type"
"Select salutation","Select salutation","Selecteer aanhef"
"Select saved address","Select saved address","Select saved address"
"Select subcategory","Select subcategory","Select subcategory"
"Select template","Select template","Select template"
"Server error, please try again","Server error, please try again","Serverfout, probeer opnieuw"
"Service Time","Service Time","Service Time"
"Session expired, please login again","Session expired, please login again","Sessie verlopen, log opnieuw in"
"Smart solutions for modern businesses","Smart solutions for modern businesses","Slimme oplossingen voor moderne bedrijven"
"Social","Social","Social"
"Sort By ID","Sort By ID","Sort By ID"
"Start Datum","Start Datum","Start Datum"
"Start address","Start address","Startadres"
"Start point","Start point","Startpunt"
"Status Updated","Status Updated","Status Updated"
"Step","Step","Stap"
"Subcategory","Subcategory","Subcategorie"
"Submitted","Submitted","Submitted"
"Suitcase","Suitcase","Suitcase"
"Tap to upload profile photo","Tap to upload profile photo","Tik om profielfoto te uploaden"
"Tasks/Complaints","Tasks/Complaints","Tasks/Complaints"
"Tasks/Complaints Details","Tasks/Complaints Details","Tasks/Complaints Details"
"Template","Template","Template"
"Tenant Contracts Details","Tenant Contracts Details","Tenant Contracts Details"
"The WhatsApp number is not valid.","The WhatsApp number is not valid.","The WhatsApp number is not valid."
"This field is required","This field is required","Dit veld is verplicht"
"Ticket Details","Ticket Details","Ticket Details"
"Ticket Fetch Failed","Ticket Fetch Failed","Ticket Fetch Failed"
"Ticket created successfully","Ticket created successfully","Ticket created successfully"
"Ticket name is required","Ticket name is required","Ticket name is required"
"Ticket updated successfully","Ticket updated successfully","Ticket updated successfully"
"Tickets","Tickets","Tickets"
"TikTok","TikTok","TikTok"
"Title is required.","Title is required.","Title is required."
"To - Do","To - Do","To - Do"
"Tour","Tour","Tour"
"Travel cost","Travel cost","Reiskosten"
"Trip Type","Trip Type","Trip Type"
"Trolly","Trolly","Trolly"
"Try again","Try again","Opnieuw proberen"
"Undo","Undo","Ongedaan maken"
"Update Now","Update Now","Nu updaten"
"Update failed","Update failed","Bijwerken mislukt"
"Updated","Updated","Updated"
"Updated successfully","Updated successfully","Updated successfully"
"Use custom destination address","Use custom destination address","Aangepast bestemmingsadres gebruiken"
"Use custom pickup address","Use custom pickup address","Aangepast ophaaladres gebruiken"
"Vehicle Category","Vehicle Category","Vehicle Category"
"Vehicle price","Vehicle price","Voertuigprijs"
"Vendor Detail","Vendor Detail","Vendor Detail"
"Verify Email Address","Verify Email Address","E-mailadres verifiëren"
"Wait","Wait","Wait"
"Waiting for connection...","Waiting for connection...","Wachten op verbinding..."
"We","We","We"
"Week","Week","Week"
"Welcome to","Welcome to","Welkom bij"
"WhatsApp Not Available","WhatsApp Not Available","WhatsApp Not Available"
"WhatsApp Number","WhatsApp Number","WhatsApp nummer"
"WhatsApp country code","WhatsApp country code","WhatsApp landcode"
"WhatsApp is not installed on your device. Would you like to install it?","WhatsApp is not installed on your device. Would you like to install it?","WhatsApp is not installed on your device. Would you like to install it?"
"Whatsapp No.","Whatsapp No.","Whatsapp No."
"Work Order","Work Order","Work Order"
"Work Orders","Work Orders","Work Orders"
"Work Orders Details","Work Orders Details","Work Orders Details"
"YES","YES","YES"
"Yes, Delete","Yes, Delete","Yes, Delete"
"YouTube","YouTube","YouTube"
"Your Address","Your Address","Uw adres"
"Your app version is outdated. Please update to the latest version.","Your app version is outdated. Please update to the latest version.","Uw appversie is verouderd. Update naar de nieuwste versie."
"deadline","deadline","deadline"
"select Project","select Project","select Project"
"select project","select project","select project"
"uur","uur","uur"
