key,en,nl,ar
"Please select contract and schedule","Please select contract and schedule","Selecteer contract en planning","يرجى اختيار العقد والجدول"
"Please select country code","Please select country code","Selecteer een landcode","يرجى اختيار رمز الدولة"
"Please select customer","Please select customer","Selecteer klant","يرجى اختيار العميل"
"Please select language","Please select language","Selecteer een taal","يرجى اختيار اللغة"
"Please select priority","Please select priority","Selecteer prioriteit","يرجى اختيار الأولوية"
"Please select salutation","Please select salutation","Selecteer alstublieft aanhef","يرجى اختيار اللقب"
"Please select start and destination","Please select start and destination","Selecteer start en bestemming","يرجى اختيار نقطة البداية والوجهة"
"Please select subcategory","Please select subcategory","Selecteer subcategorie","يرجى اختيار الفئة الفرعية"
"Pricing","Pricing","Prijzen","التسعير"
"Private Comment","Private Comment","Privé opmerking","تعليق خاص"
"Product created successfully","Product created successfully","Product succesvol aangemaakt","تم إنشاء المنتج بنجاح"
"Product list server error","Product list failed on the server (invalid product price data). Please ask your administrator to fix the backend.","Productlijst mislukt op de server (ongeldige productprijsgegevens). Vraag uw beheerder om de backend te repareren.","فشلت قائمة المنتجات على الخادم (بيانات سعر المنتج غير صالحة). يرجى مطالبة المسؤول بإصلاح الخادم."
"Profile updated successfully","Profile updated successfully","Profiel succesvol bijgewerkt","تم تحديث الملف الشخصي بنجاح"
"Project Check In","Project Check In","Project inchecken","تسجيل دخول المشروع"
"Project Check Out","Project Check Out","Project uitchecken","تسجيل خروج المشروع"
"Project Name is required","Project Name is required","Project Name is required","اسم المشروع مطلوب"
"Project Type","Project Type","Project Type","نوع المشروع"
"Project Type is required","Project Type is required","Project Type is required","نوع المشروع مطلوب"
"Projects","Projects","Projecten","المشاريع"
"Rebuild the app after installing image picker. Run: npx expo run:android","Please rebuild the app: npx expo run:android","Herbouw de app na installatie van image picker. Voer uit: npx expo run:android","يرجى إعادة بناء التطبيق: npx expo run:android"
"Register with your WhatsApp number","Register with your WhatsApp number","Registreer met je WhatsApp-nummer","سجل برقم واتساب"
"Relaties","Relaties","Relaties","العلاقات"
"Save Note","Save Note","Notitie opslaan","حفظ الملاحظة"
"Scan event QR code","Scan event QR code","Scan evenement QR-code","مسح رمز QR للحدث"
"Scanner","Scanner","Scanner","الماسح"
"Schedule","Schedule","Planning","الجدول"
"Schedule found","Schedule found","Planning gevonden","تم العثور على الجدول"
"School","School","School","المدرسة"
"Search connection","Search connection","Zoek verbinding","بحث عن اتصال"
"Search country","Search country","Zoek land","بحث عن دولة"
"Search customer","Search customer","Zoek klant","بحث عن عميل"
"Search priority","Search priority","Zoek prioriteit","بحث عن الأولوية"
"Search project","Search project","Zoek project","بحث عن مشروع"
"Search tasks, complaints","Search tasks, complaints","Zoek taken, klachten","بحث عن مهام، شكاوى"
"Search tenant contracts","Search tenant contracts","Zoek huurcontracten","بحث عن عقود الإيجار"
"Search ticket, name, id","Search ticket, name, id","Zoek ticket, naam, id","بحث عن تذكرة، اسم، معرف"
"Search works orders","Search works orders","Zoek werkorders","بحث عن أوامر العمل"
"Search.......","Search.......","Zoeken.......","بحث......."
"Select Priority","Select Priority","Selecteer prioriteit","اختر الأولوية"
"Select Relatie...","Select Relatie...","Selecteer relatie...","اختر العلاقة..."
"Select Tax","Select Tax","Selecteer belasting","اختر الضريبة"
"Select Template","Select Template","Selecteer sjabloon","اختر القالب"
"Select action","Select action","Selecteer actie","اختر الإجراء"
"Select birth date","Select birth date","Selecteer geboortedatum","اختر تاريخ الميلاد"
"Select category","Select category","Selecteer categorie","اختر الفئة"
"Select contract","Select contract","Selecteer contract","اختر العقد"
"Select country code","Select country code","Selecteer landcode","اختر رمز الدولة"
"Select customer","Select customer","Selecteer klant","اختر العميل"
"Select date","Select date","Selecteer datum","اختر التاريخ"
"Select priority","Select priority","Selecteer prioriteit","اختر الأولوية"
"Select profile photo","Select profile photo","Selecteer profielfoto","اختر صورة الملف الشخصي"
"Select project","Select project","Selecteer project","اختر المشروع"
"Select project name","Select project name","Selecteer projectnaam","اختر اسم المشروع"
"Select project type","Select project type","Selecteer projecttype","اختر نوع المشروع"
"Select salutation","Select salutation","Selecteer aanhef","اختر اللقب"
"Select saved address","Select saved address","Selecteer opgeslagen adres","اختر العنوان المحفوظ"
"Select subcategory","Select subcategory","Select subcategory","اختر الفئة الفرعية"
"Select template","Select template","Selecteer sjabloon","اختر القالب"
"Server error, please try again","Server error, please try again","Serverfout, probeer opnieuw","خطأ في الخادم، يرجى المحاولة مرة أخرى"
"Service Time","Service Time","Servicetijd","وقت الخدمة"
"Session expired, please login again","Session expired, please login again","Sessie verlopen, log opnieuw in","انتهت الجلسة، يرجى تسجيل الدخول مرة أخرى"
"Smart solutions for modern businesses","Smart solutions for modern businesses","Slimme oplossingen voor moderne bedrijven","حلول ذكية للأعمال الحديثة"
"Social","Social","Social","التواصل الاجتماعي"
"Sort By ID","Sort By ID","Sorteer op ID","ترتيب حسب المعرف"
"Start Datum","Start Datum","Startdatum","تاريخ البداية"
"Start address","Start address","Startadres","عنوان البداية"
"Start point","Start point","Startpunt","نقطة البداية"
"Status Updated","Status Updated","Status bijgewerkt","تم تحديث الحالة"
"Step","Step","Stap","خطوة"
"Subcategory","Subcategory","Subcategorie","الفئة الفرعية"
"Submitted","Submitted","Ingediend","تم الإرسال"
"Suitcase","Suitcase","Koffer","حقيبة سفر"
"Tap to upload profile photo","Tap to upload profile photo","Tik om profielfoto te uploaden","اضغط لرفع صورة الملف الشخصي"
"Tasks/Complaints","Tasks/Complaints","Taken/Klachten","المهام/الشكاوى"
"Tasks/Complaints Details","Tasks/Complaints Details","Taken/Klachten details","تفاصيل المهام/الشكاوى"
"Template","Template","Sjabloon","القالب"
"Tenant Contracts Details","Tenant Contracts Details","Huurcontractdetails","تفاصيل عقود الإيجار"
"The WhatsApp number is not valid.","The WhatsApp number is not valid.","Het WhatsApp-nummer is niet geldig.","رقم واتساب غير صالح."
"This field is required","This field is required","Dit veld is verplicht","هذا الحقل مطلوب"
"Ticket Details","Ticket Details","Ticketdetails","تفاصيل التذكرة"
"Ticket Fetch Failed","Ticket Fetch Failed","Ticket ophalen mislukt","فشل جلب التذكرة"
"Ticket created successfully","Ticket created successfully","Ticket succesvol aangemaakt","تم إنشاء التذكرة بنجاح"
"Ticket name is required","Ticket name is required","Ticketnaam is verplicht","اسم التذكرة مطلوب"
"Ticket updated successfully","Ticket updated successfully","Ticket succesvol bijgewerkt","تم تحديث التذكرة بنجاح"
"Tickets","Tickets","Tickets","التذاكر"
"TikTok","TikTok","TikTok","تيك توك"
"Title is required.","Title is required.","Titel is verplicht.","العنوان مطلوب."
"To - Do","To - Do","Te doen","المهام"
"Tour","Tour","Tour","جولة"
"Travel cost","Travel cost","Reiskosten","تكلفة السفر"
"Trip Type","Trip Type","Reistype","نوع الرحلة"
"Trolly","Trolly","Trolley","عربة"
"Try again","Try again","Opnieuw proberen","حاول مرة أخرى"
"Undo","Undo","Ongedaan maken","تراجع"
"Update Now","Update Now","Nu updaten","تحديث الآن"
"Update failed","Update failed","Bijwerken mislukt","فشل التحديث"
"Updated","Updated","Bijgewerkt","تم التحديث"
"Updated successfully","Updated successfully","Succesvol bijgewerkt","تم التحديث بنجاح"
"Use custom destination address","Use custom destination address","Aangepast bestemmingsadres gebruiken","استخدام عنوان وجهة مخصص"
"Use custom pickup address","Use custom pickup address","Aangepast ophaaladres gebruiken","استخدام عنوان استلام مخصص"
"Vehicle Category","Vehicle Category","Voertuigcategorie","فئة المركبة"
"Vehicle price","Vehicle price","Voertuigprijs","سعر المركبة"
"Vendor Detail","Vendor Detail","Leveranciersdetail","تفاصيل المورد"
"Verify Email Address","Verify Email Address","E-mailadres verifiëren","تحقق من عنوان البريد الإلكتروني"
"Wait","Wait","Wachten","انتظر"
"Waiting for connection...","Waiting for connection...","Wachten op verbinding...","في انتظار الاتصال..."
"We","We","Wij","نحن"
"Week","Week","Week","أسبوع"
"Welcome to","Welcome to","Welkom bij","مرحباً بك في"
"WhatsApp Not Available","WhatsApp Not Available","WhatsApp niet beschikbaar","واتساب غير متاح"
"WhatsApp Number","WhatsApp Number","WhatsApp nummer","رقم واتساب"
"WhatsApp country code","WhatsApp country code","WhatsApp landcode","رمز دولة واتساب"
"WhatsApp is not installed on your device. Would you like to install it?","WhatsApp is not installed on your device. Would you like to install it?","WhatsApp is niet geïnstalleerd op uw apparaat. Wilt u het installeren?","واتساب غير مثبت على جهازك. هل تريد تثبيته؟"
"Whatsapp No.","Whatsapp No.","WhatsApp nr.","رقم واتساب"
"Work Order","Work Order","Werkorder","أمر العمل"
"Work Orders","Work Orders","Werkorders","أوامر العمل"
"Work Orders Details","Work Orders Details","Werkorderdetails","تفاصيل أوامر العمل"
"YES","YES","JA","نعم"
"Yes, Delete","Yes, Delete","Ja, verwijderen","نعم، احذف"
"YouTube","YouTube","YouTube","يوتيوب"
"Your Address","Your Address","Uw adres","عنوانك"
"Your app version is outdated. Please update to the latest version.","Your app version is outdated. Please update to the latest version.","Uw appversie is verouderd. Update naar de nieuwste versie.","إصدار التطبيق قديم. يرجى التحديث إلى أحدث إصدار."
"deadline","deadline","deadline","الموعد النهائي"
"select Project","select Project","selecteer project","اختر المشروع"
"select project","select project","selecteer project","اختر المشروع"
"uur","uur","uur","ساعة"
